CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,SupportCalls,Churn,ChurnProbability,PredictedChurn,RiskSegment
CUST-03389,1,120.0,160.48,Month-to-month,DSL,4,1,0.9488,1,Critical Risk
CUST-00751,2,84.03,206.91,Month-to-month,Fiber optic,4,1,0.941,1,Critical Risk
CUST-04058,1,106.56,7.39,Month-to-month,Fiber optic,2,1,0.9389,1,Critical Risk
CUST-02777,1,99.89,86.27,Month-to-month,Fiber optic,1,1,0.9385,1,Critical Risk
CUST-01279,3,100.7,363.1,Month-to-month,Fiber optic,2,0,0.9375,1,Critical Risk
CUST-03391,9,112.39,961.86,Month-to-month,Fiber optic,2,1,0.937,1,Critical Risk
CUST-02976,1,116.21,81.09,Month-to-month,Fiber optic,1,1,0.9369,1,Critical Risk
CUST-03795,1,119.21,208.03,Month-to-month,No,0,1,0.9353,1,Critical Risk
CUST-01296,5,89.05,486.69,Month-to-month,No,2,1,0.9335,1,Critical Risk
CUST-03413,1,91.22,200.8,Month-to-month,Fiber optic,1,1,0.9314,1,Critical Risk
CUST-04098,2,110.08,178.97,Month-to-month,Fiber optic,2,1,0.9303,1,Critical Risk
CUST-00600,1,103.9,208.42,Month-to-month,No,1,1,0.9291,1,Critical Risk
CUST-01095,6,108.7,690.63,Month-to-month,Fiber optic,1,1,0.9273,1,Critical Risk
CUST-01442,2,98.69,114.45,Month-to-month,DSL,2,1,0.9265,1,Critical Risk
CUST-03318,1,114.05,127.88,Month-to-month,No,2,1,0.9248,1,Critical Risk
CUST-00520,3,101.99,218.87,Month-to-month,Fiber optic,3,1,0.9245,1,Critical Risk
CUST-04742,2,81.62,177.66,Month-to-month,Fiber optic,1,1,0.9225,1,Critical Risk
CUST-04335,11,114.2,1214.49,Month-to-month,Fiber optic,1,1,0.9204,1,Critical Risk
CUST-04042,8,102.79,781.57,Month-to-month,Fiber optic,3,1,0.9197,1,Critical Risk
CUST-02672,12,108.93,1312.32,Month-to-month,Fiber optic,2,1,0.9182,1,Critical Risk
CUST-03079,4,105.97,380.76,Month-to-month,DSL,1,1,0.9179,1,Critical Risk
CUST-04746,1,92.6,74.95,Month-to-month,DSL,4,1,0.9144,1,Critical Risk
CUST-00251,8,90.68,711.9,Month-to-month,Fiber optic,5,1,0.913,1,Critical Risk
CUST-01216,5,120.0,675.77,Month-to-month,No,1,1,0.9117,1,Critical Risk
CUST-00027,5,105.31,450.94,Month-to-month,Fiber optic,0,1,0.9116,1,Critical Risk
CUST-01765,3,84.47,283.03,Month-to-month,Fiber optic,3,1,0.91,1,Critical Risk
CUST-02858,1,89.61,99.68,Month-to-month,Fiber optic,2,1,0.9086,1,Critical Risk
CUST-03067,1,91.93,154.76,Month-to-month,DSL,5,1,0.907,1,Critical Risk
CUST-00900,2,66.51,135.55,Month-to-month,Fiber optic,3,1,0.907,1,Critical Risk
CUST-02797,1,120.0,84.51,One year,Fiber optic,2,1,0.9063,1,Critical Risk
CUST-04743,1,82.43,8.53,Month-to-month,Fiber optic,3,1,0.9015,1,Critical Risk
CUST-04541,4,103.25,496.37,Month-to-month,No,2,1,0.9008,1,Critical Risk
CUST-03282,4,120.0,524.97,Month-to-month,DSL,2,1,0.8992,1,Critical Risk
CUST-00348,1,77.11,0.0,Month-to-month,Fiber optic,3,1,0.8975,1,Critical Risk
CUST-02043,17,96.81,1640.65,Month-to-month,Fiber optic,2,1,0.8973,1,Critical Risk
CUST-03523,7,107.23,772.95,Month-to-month,Fiber optic,1,1,0.8973,1,Critical Risk
CUST-02618,7,93.04,615.77,Month-to-month,Fiber optic,3,1,0.8972,1,Critical Risk
CUST-00237,7,101.27,743.82,Month-to-month,DSL,2,1,0.8965,1,Critical Risk
CUST-02620,9,91.92,829.6,Month-to-month,Fiber optic,3,1,0.896,1,Critical Risk
CUST-02855,2,95.78,161.2,Month-to-month,No,3,1,0.896,1,Critical Risk
CUST-01994,3,73.83,243.35,Month-to-month,Fiber optic,1,1,0.8959,1,Critical Risk
CUST-04185,3,82.58,235.15,Month-to-month,Fiber optic,0,1,0.8954,1,Critical Risk
CUST-03930,3,103.05,392.0,Month-to-month,Fiber optic,1,1,0.8899,1,Critical Risk
CUST-02282,10,102.6,1063.6,Month-to-month,Fiber optic,2,1,0.8898,1,Critical Risk
CUST-01136,1,85.74,76.06,Month-to-month,Fiber optic,4,1,0.8897,1,Critical Risk
CUST-04699,3,97.34,254.36,Month-to-month,No,3,0,0.8894,1,Critical Risk
CUST-02895,3,83.56,239.65,Month-to-month,Fiber optic,3,1,0.8881,1,Critical Risk
CUST-02880,4,101.68,395.29,Month-to-month,Fiber optic,1,1,0.8876,1,Critical Risk
CUST-04506,8,109.19,896.37,Month-to-month,Fiber optic,1,1,0.8864,1,Critical Risk
CUST-01248,1,99.62,119.51,Month-to-month,DSL,0,1,0.886,1,Critical Risk
CUST-00719,3,94.64,323.56,Month-to-month,Fiber optic,4,1,0.8851,1,Critical Risk
CUST-04373,1,82.28,48.94,Month-to-month,Fiber optic,1,0,0.8848,1,Critical Risk
CUST-00901,5,78.71,436.21,Month-to-month,Fiber optic,5,1,0.8832,1,Critical Risk
CUST-04022,6,79.71,446.02,Month-to-month,Fiber optic,0,0,0.8814,1,Critical Risk
CUST-04840,7,84.12,584.25,Month-to-month,Fiber optic,3,0,0.881,1,Critical Risk
CUST-03456,4,67.85,280.66,Month-to-month,Fiber optic,3,1,0.8808,1,Critical Risk
CUST-01702,13,92.18,1221.78,Month-to-month,Fiber optic,6,1,0.879,1,Critical Risk
CUST-01933,19,90.42,1658.98,Month-to-month,Fiber optic,2,1,0.8785,1,Critical Risk
CUST-02328,1,74.88,33.72,Month-to-month,No,2,1,0.8783,1,Critical Risk
CUST-00275,17,102.13,1696.63,Month-to-month,No,3,1,0.8781,1,Critical Risk
CUST-04427,6,97.53,566.73,Month-to-month,DSL,0,1,0.878,1,Critical Risk
CUST-00867,4,93.55,348.5,Month-to-month,Fiber optic,3,1,0.8774,1,Critical Risk
CUST-00106,6,120.0,799.65,Month-to-month,DSL,2,0,0.8772,1,Critical Risk
CUST-00173,17,97.59,1640.88,Month-to-month,Fiber optic,2,1,0.8768,1,Critical Risk
CUST-00910,11,115.98,1236.46,Month-to-month,DSL,3,0,0.8763,1,Critical Risk
